NAME	LJ_RADIUS_SOFT5	LJ_RADIUS_SOFT10	LJ_RADIUS_SOFT15	LJ_RADIUS_SOFT20	LJ_RADIUS_SOFT25	LJ_RADIUS_SOFT30	LJ_RADIUS_SOFT35	LJ_RADIUS_SOFT40	LJ_RADIUS_SOFT45	LJ_RADIUS_SOFT50	LJ_RADIUS_SOFT55	LJ_RADIUS_SOFT60	LJ_RADIUS_SOFT65	LJ_RADIUS_SOFT70	LJ_RADIUS_SOFT75	LJ_RADIUS_SOFT80	LJ_RADIUS_SOFT85	LJ_RADIUS_SOFT90	LJ_RADIUS_SOFT95
CNH2    2.000000  2.000000  2.000000  2.000000  2.000000  2.000000  2.000000  2.000000  2.000000  2.000000  2.000000  2.000000  2.000000  2.000000  2.000000  2.000000  2.000000  2.000000  2.000000
COO     2.000000  2.000000  2.000000  2.000000  2.000000  2.000000  2.000000  2.000000  2.000000  2.000000  2.000000  2.000000  2.000000  2.000000  2.000000  2.000000  2.000000  2.000000  2.000000
CH1     2.007000  2.014000  2.021000  2.028000  2.035000  2.042000  2.049000  2.056000  2.063000  2.070000  2.077000  2.084000  2.091000  2.098000  2.105000  2.112000  2.119000  2.126000  2.133000
CH2     2.007000  2.014000  2.021000  2.028000  2.035000  2.042000  2.049000  2.056000  2.063000  2.070000  2.077000  2.084000  2.091000  2.098000  2.105000  2.112000  2.119000  2.126000  2.133000
CH3     2.007000  2.014000  2.021000  2.028000  2.035000  2.042000  2.049000  2.056000  2.063000  2.070000  2.077000  2.084000  2.091000  2.098000  2.105000  2.112000  2.119000  2.126000  2.133000
aroC    2.007000  2.014000  2.021000  2.028000  2.035000  2.042000  2.049000  2.056000  2.063000  2.070000  2.077000  2.084000  2.091000  2.098000  2.105000  2.112000  2.119000  2.126000  2.133000
Ntrp    1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000
Nhis    1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000
NH2O    1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000
Nlys    1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000
Narg    1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000  1.750000
Npro    1.756125  1.762250  1.768375  1.774500  1.780625  1.786750  1.792875  1.799000  1.805125  1.811250  1.817375  1.823500  1.829625  1.835750  1.841875  1.848000  1.854125  1.860250  1.866375
OH      1.555425  1.560850  1.566275  1.571700  1.577125  1.582550  1.587975  1.593400  1.598825  1.604250  1.609675  1.615100  1.620525  1.625950  1.631375  1.636800  1.642225  1.647650  1.653075
ONH2    1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000
OOC     1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000
Oaro    1.555425  1.560850  1.566275  1.571700  1.577125  1.582550  1.587975  1.593400  1.598825  1.604250  1.609675  1.615100  1.620525  1.625950  1.631375  1.636800  1.642225  1.647650  1.653075
Oet2    1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000  1.550000
Oet3    1.555425  1.560850  1.566275  1.571700  1.577125  1.582550  1.587975  1.593400  1.598825  1.604250  1.609675  1.615100  1.620525  1.625950  1.631375  1.636800  1.642225  1.647650  1.653075
S       1.906650  1.913300  1.919950  1.926600  1.933250  1.939900  1.946550  1.953200  1.959850  1.966500  1.973150  1.979800  1.986450  1.993100  1.999750  2.006400  2.013050  2.019700  2.026350
Nbb     1.756125  1.762250  1.768375  1.774500  1.780625  1.786750  1.792875  1.799000  1.805125  1.811250  1.817375  1.823500  1.829625  1.835750  1.841875  1.848000  1.854125  1.860250  1.866375
CAbb    2.007000  2.014000  2.021000  2.028000  2.035000  2.042000  2.049000  2.056000  2.063000  2.070000  2.077000  2.084000  2.091000  2.098000  2.105000  2.112000  2.119000  2.126000  2.133000
