NAME FACTS_RADIUS    FACTS_CUT FACTS_ALPHA FACTS_ALPHA2 FACTS_ALPHA3 FACTS_B1    FACTS_B2     FACTS_D1     FACTS_D2     FACTS_A0      FACTS_A1     FACTS_A2     FACTS_A3     FACTS_C0    FACTS_C1      FACTS_C2    FACTS_C3     FACTS_AMIN FACTS_AMAX FACTS_BMIN FACTS_BMAX
CNH2      2.0000     0.881363e+1    0.025         0.010       0.010  0.147227e+3 -0.811304e+0 -0.811741e+4 -0.217625e+1 -0.858924e+2  0.858904e+2  0.196363e-2  0.900140e+3  0.168481e+3 -0.168287e+3  0.113765e-2 -0.672543e+4    459.544   1383.520    0.10365    0.51465
COO       2.0000     0.881363e+1    0.025         0.010       0.010  0.147227e+3 -0.811304e+0 -0.811741e+4 -0.217625e+1 -0.858924e+2  0.858904e+2  0.196363e-2  0.900140e+3  0.168481e+3 -0.168287e+3  0.113765e-2 -0.672543e+4    413.438   1313.350    0.13534    0.54361
CH1       2.0600     0.986535e+1    0.025         0.010       0.010  0.257422e+2 -0.894245e+0 -0.105332e+5 -0.124008e+1 -0.763464e+2  0.763444e+2  0.192986e-2  0.130541e+4  0.166467e+3 -0.166465e+3  0.471945e-3 -0.969033e+4    985.437   2085.570    0.05372    0.39236
CH2       2.1750     0.891107e+1    0.025         0.020       0.010  0.620536e+2 -0.943820e+0 -0.211060e+5 -0.454142e+0 -0.754147e+2  0.754127e+2  0.224894e-2  0.979966e+3  0.130754e+3 -0.130750e+3  0.326802e-3 -0.152890e+5    566.737   1516.720    0.08404    0.49849
CH3       2.0600     0.986535e+1    0.025         0.020       0.015  0.257422e+2 -0.894245e+0 -0.105332e+5 -0.124008e+1 -0.763464e+2  0.763444e+2  0.192986e-2  0.130541e+4  0.166467e+3 -0.166465e+3  0.471945e-3 -0.969033e+4    830.482   2077.700    0.06364    0.54349
aroC      1.9924     0.920590e+1    0.025         0.040       0.025  0.519116e+1 -0.105654e+1 -0.609707e+4 -0.203276e+0 -0.845685e+2  0.845665e+2  0.187023e-2  0.915891e+3  0.160296e+3 -0.160221e+3  0.882224e-3 -0.537504e+4    736.611   1690.880    0.05032    0.44095
#hisC     1.8000     0.837057e+1    0.025         0.010       0.010  0.853399e+1 -0.109161e+1 -0.227929e+5 -0.825630e+1 -0.123827e+3  0.123827e+3  0.185613e-2  0.347902e+3  0.315402e+2 -0.313502e+2  0.567384e-3 -0.142830e+5      0.000      0.000    0.00000    0.00000
Ntrp      1.8500     0.852379e+1    0.025         0.010       0.010 -0.289292e+3 -0.697267e+0 -0.193388e+4 -0.156243e+1 -0.932613e+2  0.932593e+2  0.202205e-2  0.715165e+3  0.746559e+2 -0.746539e+2  0.268963e-2 -0.128236e+4    407.476   1337.030    0.10801    0.65328
Nhis      1.8500     0.852379e+1    0.025         0.010       0.010 -0.289292e+3 -0.697267e+0 -0.193388e+4 -0.156243e+1 -0.932613e+2  0.932593e+2  0.202205e-2  0.715165e+3  0.746559e+2 -0.746539e+2  0.268963e-2 -0.128236e+4    476.576   1265.040    0.07318    0.51363
NH2O      1.8500     0.852379e+1    0.025         0.000       0.000 -0.289292e+3 -0.697267e+0 -0.193388e+4 -0.156243e+1 -0.932613e+2  0.932593e+2  0.202205e-2  0.715165e+3  0.746559e+2 -0.746539e+2  0.268963e-2 -0.128236e+4    321.252   1248.670    0.12268    0.83599
