NAME   GB_RADIUS GB_SCALE_FACTOR
CNH2      1.7000          0.7200
COO       1.7000          0.7200
CH1       1.7000          0.7200
CH2       1.7000          0.7200
CH3       1.7000          0.7200
aroC      1.7000          0.7200
Ntrp      1.5500          0.7900
Nhis      1.5500          0.7900
NH2O      1.5500          0.7900
Nlys      1.5500          0.7900
Narg      1.5500          0.7900
Npro      1.5500          0.7900
OH        1.5000          0.8500
ONH2      1.5000          0.8500
OOC       1.5000          0.8500
Oaro      1.5000          0.8500
Oes2      1.5000          0.8500
Oes3      1.5000          0.8500
S         1.8000          0.9600
Nbb       1.5500          0.7900
CAbb      1.7000          0.7200
CObb      1.7000          0.7200
OCbb      1.5000          0.8500
Phos      2.1500          0.8600
Pbb       2.1500          0.8600  #copied from Phos
Hpol      1.3000          0.8500
Hapo      1.3000          0.8500
Haro      1.3000          0.8500
HNbb      1.3000          0.8500
HOH       1.5000          0.8500
Bsp2      1.7537          0.7900  # modified from Nhis based on ratio of van der Waals radii
F         1.4700          0.8000
Cl        1.7350          0.8000
Br        1.9000          0.8000
I         2.3600          0.8000
Zn2p      1.0900          0.8000
Co2p      1.5680          0.8000  # modified from zinc based on ratio of van der Waals radii
Cu2p      1.0978          0.8000  # modified from zinc based on ratio of van der Waals radii
Fe2p      0.7800          0.8000
Fe3p      0.6500          0.8000
Mg2p      1.7000          0.8000
Ca2p      1.8170          0.8000
Na1p      1.9920          0.8000
K1p       1.8120          0.8000
Au        1.2000          0.8500
OP        1.4500          0.8500
OHP       1.5500          0.8500
HOP       0.1900          0.8500
Pha       1.8500          0.8600
OPha      1.4500          0.8500
OHha      1.5500          0.8500
Hha       0.1900          0.8500
CO3       1.7000          0.8500 #@Robin No published scale/ current value obtained from rosetta++ 
OC3       1.6000          0.8500 #@Robin
Si        1.8500          0.8500 #@Robin
OSi       1.5500          0.8500 #@Robin
Oice      1.5000          0.8500 #@Robin
Hice      1.2000          0.8500 #@Robin 
CS1       1.7000          0.7200
CS2       1.7000          0.7200
CS5       1.7000          0.7200
CS6       1.7000          0.7200
O5        1.5000          0.8500
VOOC      0.0000          0.0000
VCOO      0.0000          0.0000
VOCN      0.0000          0.0000
VNOC      0.0000          0.0000
VCON      0.0000          0.0000
VSOG      0.0000          0.0000
VSCB      0.0000          0.0000
VCSG      0.0000          0.0000
VCCB      0.0000          0.0000
VRNH      0.0000          0.0000
VRNE      0.0000          0.0000
VKNZ      0.0000          0.0000
VKCE      0.0000          0.0000
VHND      0.0000          0.0000
VHNE      0.0000          0.0000
VHCB      0.0000          0.0000
VHPO      0.0000          0.0000
SUCK  	  0.0000				  0.0000
REPL      0.0000          0.0000
REPLS     0.0000          0.0000
HREPS     0.0000          0.0000
VIRT      0.0000          0.0000
MPct      0.0000          0.0000
MPnm      0.0000          0.0000
MPtk      0.0000          0.0000
MPdp      0.0000          0.0000
