#This file is temporary to indicate which structures can be loaded from the database RAbD or not. 
#Jared Adolf-Bryfogle

SKIP 5u3nH_H1_0001
SKIP 5u3nH_H1_0001
SKIP 1e6oL_L2_0001
SKIP 2aepL_L2_0001
SKIP 2b2xL_L2_0001
SKIP 2fatL_L2_0001
SKIP 2ghwB_L2_0001
SKIP 2j4wL_L2_0001
SKIP 3bkyL_L2_0001
SKIP 3m8oL_L2_0001
SKIP 4ffvC_L2_0001
SKIP 4ptuA_L2_0001
LOADED 1a0qH_H1_0001
LOADED 1a2yB_H1_0001
LOADED 1a3rH_H1_0001
LOADED 1a5fH_H1_0001
LOADED 1a6tB_H1_0001
LOADED 1ai1H_H1_0001
LOADED 1aqkH_H1_0001
LOADED 1axsH_H1_0001
LOADED 1bfoF_H1_0001
LOADED 1bj1K_H1_0001
LOADED 1bm3H_H1_0001
LOADED 1bz7B_H1_0001
LOADED 1c1eH_H1_0001
LOADED 1c5cH_H1_0001
LOADED 1c5dB_H1_0001
LOADED 1ce1H_H1_0001
LOADED 1cf8H_H1_0001
LOADED 1cfvH_H1_0001
LOADED 1cloH_H1_0001
LOADED 1cr9H_H1_0001
LOADED 1ct8D_H1_0001
LOADED 1dbbH_H1_0001
LOADED 1dlfH_H1_0001
LOADED 1dn0D_H1_0001
LOADED 1dqdH_H1_0001
LOADED 1dqqD_H1_0001
LOADED 1dsfH_H1_0001
LOADED 1dvfD_H1_0001
LOADED 1e4xH_H1_0001
LOADED 1e6oH_H1_0001
LOADED 1eapB_H1_0001
LOADED 1egjH_H1_0001
LOADED 1ehlH_H1_0001
LOADED 1emtH_H1_0001
LOADED 1eo8H_H1_0001
LOADED 1f2xK_H1_0001
LOADED 1f3dK_H1_0001
LOADED 1f4xH_H1_0001
LOADED 1faiH_H1_0001
LOADED 1fe8H_H1_0001
LOADED 1fgvH_H1_0001
LOADED 1fj1B_H1_0001
LOADED 1flrH_H1_0001
LOADED 1fn4D_H1_0001
LOADED 1fnsH_H1_0001
LOADED 1forH_H1_0001
LOADED 1frgH_H1_0001
LOADED 1ggiH_H1_0001
LOADED 1ghfH_H1_0001
LOADED 1gigH_H1_0001
LOADED 1h8nA_H1_0001
LOADED 1hcvA_H1_0001
LOADED 1hezD_H1_0001
LOADED 1hi6B_H1_0001
LOADED 1hilB_H1_0001
LOADED 1i3uA_H1_0001
LOADED 1i9jH_H1_0001
LOADED 1ic4H_H1_0001
LOADED 1ic7H_H1_0001
LOADED 1igfH_H1_0001
LOADED 1igmH_H1_0001
LOADED 1ikfH_H1_0001
LOADED 1il1A_H1_0001
LOADED 1indH_H1_0001
LOADED 1iqdB_H1_0001
LOADED 1j05H_H1_0001
LOADED 1jfqH_H1_0001
LOADED 1jguH_H1_0001
LOADED 1jhlH_H1_0001
LOADED 1jn6B_H1_0001
LOADED 1jptH_H1_0001
LOADED 1jrhH_H1_0001
LOADED 1jtpA_H1_0001
LOADED 1jv5B_H1_0001
LOADED 1kcvH_H1_0001
LOADED 1kelH_H1_0001
LOADED 1kipB_H1_0001
LOADED 1kxqF_H1_0001
LOADED 1kxvD_H1_0001
LOADED 1l7tH_H1_0001
LOADED 1lk3H_H1_0001
LOADED 1lmkA_H1_0001
LOADED 1lo0H_H1_0001
LOADED 1lo4H_H1_0001
LOADED 1mcpH_H1_0001
LOADED 1mexH_H1_0001
LOADED 1mfaH_H1_0001
LOADED 1mimH_H1_0001
LOADED 1mj8H_H1_0001
LOADED 1mjuH_H1_0001
LOADED 1mlbB_H1_0001
LOADED 1mnuH_H1_0001
LOADED 1mqkH_H1_0001
LOADED 1mvfA_H1_0001
LOADED 1mvuB_H1_0001
LOADED 1n0xH_H1_0001
LOADED 1n4xH_H1_0001
LOADED 1nakI_H1_0001
LOADED 1nc2B_H1_0001
LOADED 1ncwH_H1_0001
LOADED 1ndgB_H1_0001
LOADED 1nfdF_H1_0001
LOADED 1nj9H_H1_0001
LOADED 1nl0H_H1_0001
LOADED 1nlbH_H1_0001
LOADED 1nmbH_H1_0001
LOADED 1oaqH_H1_0001
LOADED 1ohqA_H1_0001
LOADED 1orsB_H1_0001
LOADED 1ospH_H1_0001
LOADED 1p4bH_H1_0001
LOADED 1p7kH_H1_0001
LOADED 1pg7Z_H1_0001
LOADED 1pskH_H1_0001
LOADED 1pz5B_H1_0001
LOADED 1q0xH_H1_0001
LOADED 1q72H_H1_0001
LOADED 1q9wB_H1_0001
LOADED 1qd0A_H1_0001
LOADED 1qfuH_H1_0001
LOADED 1qkzH_H1_0001
LOADED 1qokA_H1_0001
LOADED 1r0aH_H1_0001
LOADED 1rhhB_H1_0001
LOADED 1ri8A_H1_0001
LOADED 1rihH_H1_0001
LOADED 1rjlB_H1_0001
LOADED 1rmfH_H1_0001
LOADED 1rurH_H1_0001
LOADED 1s3kH_H1_0001
LOADED 1seqH_H1_0001
LOADED 1shmB_H1_0001
LOADED 1sjxA_H1_0001
LOADED 1t2jA_H1_0001
LOADED 1t2qH_H1_0001
LOADED 1t3fB_H1_0001
LOADED 1t4kD_H1_0001
LOADED 1tzhH_H1_0001
LOADED 1tziB_H1_0001
LOADED 1u0qA_H1_0001
LOADED 1ucbH_H1_0001
LOADED 1uj3B_H1_0001
LOADED 1um5H_H1_0001
LOADED 1uweV_H1_0001
LOADED 1uwgY_H1_0001
LOADED 1uwxH_H1_0001
LOADED 1uywH_H1_0001
LOADED 1uz8B_H1_0001
LOADED 1vgeH_H1_0001
LOADED 1w72I_H1_0001
LOADED 1x9qA_H1_0001
LOADED 1xfpA_H1_0001
LOADED 1xgpB_H1_0001
LOADED 1xgqB_H1_0001
LOADED 1xgrB_H1_0001
LOADED 1xgtB_H1_0001
LOADED 1xguB_H1_0001
LOADED 1y0lB_H1_0001
LOADED 1yejH_H1_0001
LOADED 1yjdH_H1_0001
LOADED 1ynkH_H1_0001
LOADED 1ynlH_H1_0001
LOADED 1yqvH_H1_0001
LOADED 1zanH_H1_0001
LOADED 1zeaH_H1_0001
LOADED 1ztxH_H1_0001
LOADED 1zvhA_H1_0001
LOADED 1zvyA_H1_0001
LOADED 2a77H_H1_0001
LOADED 2a9mH_H1_0001
LOADED 2adfH_H1_0001
LOADED 2agjH_H1_0001
LOADED 2aj3B_H1_0001
LOADED 2ajuH_H1_0001
LOADED 2b1hH_H1_0001
LOADED 2bdnH_H1_0001
LOADED 2c1pB_H1_0001
LOADED 2cjuH_H1_0001
LOADED 2ck0H_H1_0001
LOADED 2cmrH_H1_0001
LOADED 2d7tH_H1_0001
LOADED 2dqcH_H1_0001
LOADED 2dqfE_H1_0001
LOADED 2dquH_H1_0001
LOADED 2e27H_H1_0001
LOADED 2eizB_H1_0001
LOADED 2fatH_H1_0001
LOADED 2fb4H_H1_0001
LOADED 2fbjH_H1_0001
LOADED 2g2rB_H1_0001
LOADED 2g5bD_H1_0001
LOADED 2g60H_H1_0001
LOADED 2g75C_H1_0001
LOADED 2gcyB_H1_0001
LOADED 2ghwD_H1_0001
LOADED 2gjjA_H1_0001
LOADED 2h1pH_H1_0001
LOADED 2h9gH_H1_0001
LOADED 2hffB_H1_0001
LOADED 2hfgH_H1_0001
LOADED 2hkfH_H1_0001
LOADED 2hrpH_H1_0001
LOADED 2hwzH_H1_0001
LOADED 2ih3A_H1_0001
LOADED 2ipuH_H1_0001
LOADED 2j4wH_H1_0001
LOADED 2jelH_H1_0001
LOADED 2ny1D_H1_0001
LOADED 2nyyD_H1_0001
LOADED 2orbH_H1_0001
LOADED 2otuD_H1_0001
LOADED 2oz4H_H1_0001
LOADED 2p45B_H1_0001
LOADED 2p4aB_H1_0001
LOADED 2q76D_H1_0001
LOADED 2q8bH_H1_0001
LOADED 2qqkH_H1_0001
LOADED 2qscH_H1_0001
LOADED 2r0lH_H1_0001
LOADED 2r56H_H1_0001
LOADED 2r8sH_H1_0001
LOADED 2uziH_H1_0001
LOADED 2v17H_H1_0001
LOADED 2v7hH_H1_0001
LOADED 2vq1F_H1_0001
LOADED 2vxqH_H1_0001
LOADED 2vxtH_H1_0001
LOADED 2vxvH_H1_0001
LOADED 2vyrH_H1_0001
LOADED 2w60A_H1_0001
LOADED 2x1oA_H1_0001
LOADED 2x6mA_H1_0001
LOADED 2xknB_H1_0001
LOADED 2xqbH_H1_0001
LOADED 2xqyG_H1_0001
LOADED 2xraH_H1_0001
LOADED 2xt1B_H1_0001
LOADED 2xwtA_H1_0001
LOADED 2xzcH_H1_0001
LOADED 2y6sD_H1_0001
LOADED 2yc1A_H1_0001
LOADED 2ymxH_H1_0001
LOADED 2ypvH_H1_0001
LOADED 2z4qB_H1_0001
LOADED 2z92A_H1_0001
LOADED 2zkhH_H1_0001
LOADED 2zpkH_H1_0001
LOADED 3b2uJ_H1_0001
LOADED 3b9kH_H1_0001
LOADED 3b9vB_H1_0001
LOADED 3bkjH_H1_0001
LOADED 3cfbH_H1_0001
LOADED 3cfiC_H1_0001
LOADED 3clfH_H1_0001
LOADED 3cviH_H1_0001
LOADED 3cx5J_H1_0001
LOADED 3d85B_H1_0001
LOADED 3d9aH_H1_0001
LOADED 3dsfH_H1_0001
LOADED 3dvgB_H1_0001
LOADED 3e8uH_H1_0001
LOADED 3ebaA_H1_0001
LOADED 3efdH_H1_0001
LOADED 3eo0B_H1_0001
LOADED 3eo9H_H1_0001
LOADED 3eotH_H1_0001
LOADED 3esuF_H1_0001
LOADED 3esvF_H1_0001
LOADED 3eyfB_H1_0001
LOADED 3ezjD_H1_0001
LOADED 3fn0H_H1_0001
LOADED 3fo2B_H1_0001
LOADED 3fo9H_H1_0001
LOADED 3g04B_H1_0001
LOADED 3g5yB_H1_0001
LOADED 3g6aB_H1_0001
LOADED 3g9aB_H1_0001
LOADED 3ggwD_H1_0001
LOADED 3gi9H_H1_0001
LOADED 3gizH_H1_0001
LOADED 3gjfM_H1_0001
LOADED 3gkwH_H1_0001
LOADED 3gnmH_H1_0001
LOADED 3go1H_H1_0001
LOADED 3grwH_H1_0001
LOADED 3h0tB_H1_0001
LOADED 3hc4H_H1_0001
LOADED 3hi6H_H1_0001
LOADED 3hntH_H1_0001
LOADED 3hr5B_H1_0001
LOADED 3i2cH_H1_0001
LOADED 3i75B_H1_0001
LOADED 3i9gH_H1_0001
LOADED 3idgB_H1_0001
LOADED 3idxH_H1_0001
LOADED 3iflH_H1_0001
LOADED 3inuH_H1_0001
LOADED 3iu4H_H1_0001
LOADED 3juyC_H1_0001
LOADED 3k1kC_H1_0001
LOADED 3k2uH_H1_0001
LOADED 3k74B_H1_0001
LOADED 3k80B_H1_0001
LOADED 3kr3H_H1_0001
LOADED 3kymJ_H1_0001
LOADED 3l5xH_H1_0001
LOADED 3l95B_H1_0001
LOADED 3ld8C_H1_0001
LOADED 3lexA_H1_0001
LOADED 3leyH_H1_0001
LOADED 3lizH_H1_0001
LOADED 3ln9A_H1_0001
LOADED 3lrsE_H1_0001
LOADED 3ls5H_H1_0001
LOADED 3m8oH_H1_0001
LOADED 3ma9H_H1_0001
LOADED 3mbxH_H1_0001
LOADED 3mclH_H1_0001
LOADED 3mlrH_H1_0001
LOADED 3mlwH_H1_0001
LOADED 3mlyI_H1_0001
LOADED 3mnzB_H1_0001
LOADED 3mxwH_H1_0001
LOADED 3n9gH_H1_0001
LOADED 3na9H_H1_0001
LOADED 3ncjH_H1_0001
LOADED 3nfsH_H1_0001
LOADED 3nh7J_H1_0001
LOADED 3ntcH_H1_0001
LOADED 3nz8A_H1_0001
LOADED 3o2dH_H1_0001
LOADED 3o6kH_H1_0001
LOADED 3oazM_H1_0001
LOADED 3ojdB_H1_0001
LOADED 3oz9H_H1_0001
LOADED 3p0yH_H1_0001
LOADED 3pgfH_H1_0001
LOADED 3phqB_H1_0001
LOADED 3pnwW_H1_0001
LOADED 3pp4H_H1_0001
LOADED 3q3gD_H1_0001
LOADED 3q6gH_H1_0001
LOADED 3qcuI_H1_0001
LOADED 3qehC_H1_0001
LOADED 3qg6H_H1_0001
LOADED 3qhzH_H1_0001
LOADED 3qpqD_H1_0001
LOADED 3qpxH_H1_0001
LOADED 3qq9D_H1_0001
LOADED 3qrgH_H1_0001
LOADED 3qskB_H1_0001
LOADED 3qwoH_H1_0001
LOADED 3qxtB_H1_0001
LOADED 3qycA_H1_0001
LOADED 3r06H_H1_0001
LOADED 3r0mA_H1_0001
LOADED 3r1gH_H1_0001
LOADED 3ra7I_H1_0001
LOADED 3rpiA_H1_0001
LOADED 3s34H_H1_0001
LOADED 3s35H_H1_0001
LOADED 3sgeH_H1_0001
LOADED 3skjI_H1_0001
LOADED 3sobH_H1_0001
LOADED 3stbA_H1_0001
LOADED 3t2nH_H1_0001
LOADED 3t3pH_H1_0001
LOADED 3t65B_H1_0001
LOADED 3tclH_H1_0001
LOADED 3tpkA_H1_0001
LOADED 3tv3H_H1_0001
LOADED 3twcH_H1_0001
LOADED 3u0tB_H1_0001
LOADED 3u0wH_H1_0001
LOADED 3u30C_H1_0001
LOADED 3u7yH_H1_0001
LOADED 3u9pK_H1_0001
LOADED 3uc0I_H1_0001
LOADED 3ujiH_H1_0001
LOADED 3ujjH_H1_0001
LOADED 3ulsB_H1_0001
LOADED 3umtA_H1_0001
LOADED 3upcA_H1_0001
LOADED 3utzB_H1_0001
LOADED 3uzqA_H1_0001
LOADED 3v0aC_H1_0001
LOADED 3v0wH_H1_0001
LOADED 3v4uH_H1_0001
LOADED 3v6oC_H1_0001
LOADED 3vfgH_H1_0001
LOADED 3vg9C_H1_0001
LOADED 3w9eA_H1_0001
LOADED 3wbdA_H1_0001
LOADED 3wfdH_H1_0001
LOADED 3whxA_H1_0001
LOADED 3wiiI_H1_0001
LOADED 3wkmI_H1_0001
LOADED 3x3fH_H1_0001
LOADED 3zhdA_H1_0001
LOADED 3zkmC_H1_0001
LOADED 3zkqD_H1_0001
LOADED 43c9B_H1_0001
LOADED 4aehH_H1_0001
LOADED 4aeiJ_H1_0001
LOADED 4ag4H_H1_0001
LOADED 4al8H_H1_0001
LOADED 4amkH_H1_0001
LOADED 4aq1D_H1_0001
LOADED 4b41B_H1_0001
LOADED 4b50A_H1_0001
LOADED 4b5eB_H1_0001
LOADED 4buhB_H1_0001
LOADED 4bz2H_H1_0001
LOADED 4c57C_H1_0001
LOADED 4c83A_H1_0001
LOADED 4cadE_H1_0001
LOADED 4cmhB_H1_0001
LOADED 4cniA_H1_0001
LOADED 4d9lI_H1_0001
