,0.0 to 15.0,15.0 to 30.0,30.0 to 45.0,45.0 to 60.0,60.0 to 75.0,75.0 to 90.0,90.0 to 105.0,105.0 to 120.0,120.0 to 135.0,135.0 to 150.0,150.0 to 175.0,175.0 to 200.0,200.0 to 1000.0
ALA,0.8735299245283012,0.8473909118387916,0.8238343714652959,0.816759288043479,0.8172507425742573,0.808174580357143,0.7839478028985509,0.7632757076923076,0.7760628461538462,0.7456562574257425,0.7264570909090907,0.77963068,0.6882025124999999
ARG,0.8298699383561642,0.7691094228855718,0.7654148238095246,0.7668312882882884,0.7752444354066987,0.7658688445595857,0.7511131384083044,0.764664094117647,0.7639793333333335,0.7478673624999999,0.7330749423076927,0.7256516825396826,0.7095211999999997
ASN,0.8415489333333334,0.8110259696969696,0.7963937426900579,0.8003861130434782,0.798946598802395,0.7902357722772279,0.7784237635467977,0.7442761395348836,0.793257072463768,0.7442363589743591,0.7207939722222223,0.7303536000000002,0.744328793103448
ASP,0.8106165315315316,0.7695269513513521,0.7651419030612244,0.7636120102739729,0.7858774656084656,0.7794455083333335,0.7547536896551719,0.7423391283783783,0.767025695652174,0.735412675,0.7500488965517241,0.7390832439024391,0.7369958679245284
CYS,0.8488905172413795,0.7927030647482014,0.7925606791044776,0.7721774999999999,0.773253892857143,0.7939552452830189,0.7929691176470589,0.7424329649122807,0.7468737142857143,0.7351823333333335,0.6886205853658535,0.65888225,0.6762102352941177
GLU,0.8053685680000003,0.7845839895833334,0.7597448676207516,0.7742152925373138,0.7705370837209298,0.7684005913621262,0.7672821563421831,0.7634228258426963,0.7985624166666666,0.7658855000000002,0.7364630326086956,0.7666571632653061,0.7207235774647889
GLN,0.8372294416666666,0.8001583949579834,0.7847883178082189,0.7949428952879586,0.785807111111111,0.7891322828282831,0.7578691081967212,0.7557551764705881,0.7733373913043475,0.7746784571428573,0.7851309142857139,0.7846326153846153,0.6970933076923077
GLY,0.867164905027933,0.8364523910761154,0.8081716286644942,0.7870841050955408,0.7907412085308055,0.7771432070707074,0.7534022256267409,0.7360724644808747,0.7555892374100718,0.7339553800000005,0.7598208495575222,0.7241643529411769,0.7097975068493152
HIS,0.8376961764705886,0.8012440999999999,0.7950805131578955,0.7908533629032256,0.7917376721311475,0.7813747826086959,0.7401463942307689,0.7460154722222223,0.7543395853658537,0.7926706538461539,0.7239911428571429,0.7288671999999999,0.6868363437499998
ILE,0.8825379301075263,0.8418018658227846,0.8212328595360825,0.8236590572289157,0.8345934234234237,0.811434880794702,0.7895889793103453,0.7651403701298701,0.7788265416666668,0.7637882410714282,0.7222672804878048,0.7349296530612246,0.691387375
LEU,0.8645265051546389,0.8446198195956456,0.8189483793103447,0.8089296642201834,0.8246136061452515,0.8041765390476183,0.776482815457412,0.7667129789029535,0.7885824078947369,0.7603732464788732,0.7349035599999997,0.7651853720930234,0.7391894726027398
LYS,0.829612375,0.79936549047619,0.7737083642691415,0.7902230800000003,0.8054338429752064,0.7800411052631578,0.7754633455284561,0.7866932066115704,0.7701328453608249,0.7701888292682926,0.7403555090909092,0.7738413000000002,0.7311874374999998
MET,0.8213658032786885,0.8013658250000003,0.8046066181102363,0.7761605572519081,0.8129848055555554,0.7902134520547943,0.7814837311827959,0.7660734901960786,0.7481342352941178,0.74711616,0.7072798124999998,0.7568429565217392,0.7058440294117647
PHE,0.8603906704119838,0.835596109195402,0.8155496275510208,0.8279816098901096,0.7989836380368099,0.7978254827586211,0.7585505632911393,0.7319063608247426,0.7574109310344829,0.7293361168831168,0.7235940312499999,0.6931521052631578,0.7354938571428571
PRO,0.8694791024096387,0.8266008437500003,0.8071232672672669,0.8037932617801045,0.8293758656716419,0.7881389503105588,0.7675337017543862,0.7527157596153847,0.7892917654320986,0.7715070281690141,0.7676327647058824,0.7589681111111111,0.7583978333333333
SER,0.8473120914634142,0.8227549020172912,0.7951868508771925,0.8033175274999996,0.8017945937500005,0.8093748714285713,0.7385869310344833,0.7544954008810574,0.7971048550724642,0.7482125865384615,0.7411217912087913,0.7359359687499999,0.74509240625
THR,0.8606498054054049,0.828868422222222,0.8075713790951634,0.7913192210526319,0.8070263882978724,0.7897051401869156,0.7695999389671363,0.7775211709401708,0.7705180615384619,0.74812238028169,0.7441582473118281,0.7262107708333331,0.7218347343749999
TRP,0.869848901408451,0.8366730887096772,0.8143008608695651,0.8102290746268658,0.799506095890411,0.7887037647058827,0.7660216562500001,0.7414753684210524,0.7755264,0.7403755,0.7470504324324324,0.6981153333333334,0.7053251399999999
TYR,0.8564867315436241,0.8309986499999996,0.808780199501247,0.8103702568306012,0.8067446326530616,0.7964821532258064,0.7685870325203253,0.7449058837209304,0.7653346190476192,0.756095027027027,0.7050205576923076,0.7335719523809525,0.7323397246376814
VAL,0.8739405224913493,0.8530200508083141,0.82694365248227,0.8246760449735449,0.8184999704433495,0.8080826711864404,0.7698987608695653,0.7653840592592593,0.7860723666666664,0.758729914285714,0.7437901999999997,0.7216753846153847,0.7433953119266056
