 DMS  log-stats
0.00 5.92102724
0.05 6.80437911
0.10 6.63332983
0.15 6.58504152
0.20 6.16889708
0.25 5.69069804
0.30 5.17336751
0.35 4.72443300
0.40 4.50826086
0.45 4.43150504
0.50 4.39589896
0.55 4.32364333
0.60 4.22391015
0.65 4.10054293
0.70 3.96094093
0.75 3.81051006
0.80 3.65890121
0.85 3.52199274
0.90 3.42106025
0.95 3.36875491
1.00 3.35990121
1.05 3.37341845
1.10 3.39446198
1.15 3.41425911
1.20 3.42481541
1.25 3.42205285
1.30 3.40273406
1.35 3.36397595
1.40 3.30302085
1.45 3.21965253
1.50 3.11181347
1.55 2.97902057
1.60 2.82232387
1.65 2.64286600
1.70 2.44186242
1.75 2.22092515
1.80 1.98121410
1.85 1.71998625
1.90 1.44024079
1.95 1.14139602
2.00 0.81779812
2.05 0.47061891
2.10 0.11319759
2.15 -0.25516602
2.20 -0.60572557
2.25 -0.87283542
2.30 -1.00483181
2.35 -0.96604864
2.40 -0.79211768
2.45 -0.55762450
2.50 -0.31334786
2.55 -0.08882127
2.60 0.10284854
2.65 0.25651761
2.70 0.37112150
2.75 0.44756021
2.80 0.48527011
2.85 0.48550353
2.90 0.44998067
2.95 0.37967773
3.00 0.27445134
3.05 0.13668722
3.10 -0.03279504
3.15 -0.23213391
3.20 -0.45918150
3.25 -0.71251126
3.30 -0.98986673
3.35 -1.28199326
3.40 -1.57185348
3.45 -1.82924427
3.50 -2.00155654
3.55 -2.01469092
3.60 -1.86097825
3.65 -1.59295662
3.70 -1.27984553
3.75 -0.95497195
3.80 -0.64072249
3.85 -0.35219365
3.90 -0.09349879
3.95 0.13670245
