 DMS  log-stats
0.00       -Inf
0.05 3.30406240
0.10 3.65626279
0.15 3.89052093
0.20 3.92224028
0.25 3.87476681
0.30 3.75286621
0.35 3.58465552
0.40 3.45899524
0.45 3.39579749
0.50 3.41331991
0.55 3.48889819
0.60 3.59121797
0.65 3.66902453
0.70 3.73960193
0.75 3.80257205
0.80 3.86771958
0.85 3.93025780
0.90 3.98645173
0.95 4.03214334
1.00 4.06357458
1.05 4.07516014
1.10 4.06522103
1.15 4.03736881
1.20 3.99081401
1.25 3.92961623
1.30 3.85960473
1.35 3.78418791
1.40 3.69998112
1.45 3.61152483
1.50 3.51791004
1.55 3.42258175
1.60 3.33077934
1.65 3.24508566
1.70 3.16684311
1.75 3.09597519
1.80 3.03181530
1.85 2.96936159
1.90 2.90826760
1.95 2.84618947
2.00 2.78195960
2.05 2.71300615
2.10 2.63899838
2.15 2.55813016
2.20 2.47081878
2.25 2.37770589
2.30 2.27790744
2.35 2.17284814
2.40 2.06252521
2.45 1.94909319
2.50 1.83300423
2.55 1.71455784
2.60 1.59823892
2.65 1.48824281
2.70 1.38689988
2.75 1.29741072
2.80 1.22434931
2.85 1.15835054
2.90 1.09672672
2.95 1.03557376
3.00 0.97464141
3.05 0.91284126
3.10 0.85149730
3.15 0.79026479
3.20 0.72836797
3.25 0.66391849
3.30 0.59523143
3.35 0.52172740
3.40 0.44301905
3.45 0.35849666
3.50 0.26743576
3.55 0.17023651
3.60 0.06571121
3.65 -0.04595239
3.70 -0.16270074
3.75 -0.28571310
3.80 -0.41297003
3.85 -0.54331902
3.90 -0.67773737
3.95 -0.81489920
