  -1.0000   81.6500  211.9875  289.8863  294.9570  174.2211   53.8411   81.2575 	1a
  -1.0000   84.8570  224.2428  294.4010  284.9689  218.9753   57.4521   85.8609 	1m
  -1.0000   83.8481  247.7704  268.1751  307.6084  137.7398   62.2615   80.6547 	1L
  -1.0000   82.4736  186.8622  260.5957  297.2301  184.1061   51.6680   81.8346 	&a
  -1.0000   83.7272  225.9111  220.8596  297.4591  153.6357   52.0396   82.5994 	7a
  -1.0000   84.6185  220.0639  173.9399  288.5532  163.0853   49.2275   85.5019 	3a
  -1.0000   84.5483  214.2137  119.1360  289.5830  162.8781   51.4350   81.7063 	9a
  -1.0000   81.0633  218.6450  289.1699  166.2515  159.0148   52.8194   84.5745 	1g
  -1.0000   85.1610  236.9492  257.1815   73.0936  163.3645   54.1928   85.0502 	7d
  -1.0000   85.0071  242.1693  201.9289   68.5104  179.9230   55.2377   85.1182 	3d
  -1.0000   79.9236  195.6046   54.8630   62.7136  132.7095   47.5248   83.0520 	5d
  -1.0000   80.4271  209.3075  287.1500  249.8276   91.2115  168.1445   83.9903 	1e
  -1.0000   80.9123  196.3289  288.5263  154.1302  199.1520  176.0093   83.5225 	1c
  -1.0000   82.2480  206.3074  300.1025  179.3296  138.9308  173.2903   84.6578 	1f
  -1.0000   88.0134  217.2544   74.4457   67.2626  112.0075  177.8552   82.8952 	5j
  -1.0000   86.6072  248.2990  108.6949   73.0489  210.1057  180.2852   83.0969 	5n
  -1.0000   84.0582  216.3252  286.3015  303.8356  177.0980   57.3855  145.2074 	1b
  -1.0000   83.3445  220.6222  288.7133  294.3404  221.4784   52.2003  145.0408 	1[
  -1.0000   84.6688  227.2303  166.9282  294.6676  178.0962   48.5159  146.1697 	3b
  -1.0000   83.3553  207.9866  275.3660  190.5566  175.1799   51.1521  145.9953 	1z
  -1.0000   82.8910  207.3675   50.9410  162.4329  149.2719   51.7050  147.4909 	5z
  -1.0000   84.2575  233.3864  218.5410   70.9731  206.1833   51.4082  144.8244 	7p
  -1.0000   83.8506  206.7902   67.0916   72.0592  145.6855   53.8389  146.3288 	5p
  -1.0000   82.0589  201.6677  285.7468  181.6302  188.6731  174.7793  147.2657 	1t
  -1.0000   81.7120  207.1363   71.6391   63.4982  109.5674  178.4594  144.3210 	5q
  -1.0000   83.8705  218.6524  282.4978  299.7279  218.2108  295.3660  152.8351 	1o
  -1.0000   83.2262  227.8918  243.2100   59.9463  180.8860  294.7493  151.0298 	7r
  -1.0000   83.9131  196.6618   66.8151   55.4776  138.1471  293.4914  155.5209 	5r
  -1.0000  146.3798  259.6568  287.3404  286.8279  190.4507   54.4640   84.3611 	2a
  -1.0000  147.3567  256.5622  170.8222  297.6632  160.8383   50.9528   82.0617 	4a
  -1.0000  147.8831  222.3938  141.4797  285.7498  158.4866   47.8340   83.9121 	0a
  -1.0000  148.4539  191.0655  148.8930  291.3155  146.6759   42.7236   83.5747 	#a
  -1.0000  148.3461  251.0284  172.2712  203.7803  167.5941   51.2069   82.4562 	4g
  -1.0000  146.8022  269.0742   83.5403  200.9164  193.1427   56.3975   82.8749 	6g
  -1.0000  147.6024  266.7002  244.0789   64.3313  171.1613   53.2605   86.2704 	8d
  -1.0000  146.6933  246.4724  185.4054   76.6769  183.8503   56.6678   84.1256 	4d
  -1.0000  147.9513  241.2002   91.7309   61.0155  156.0351   51.0796   84.4089 	6d
  -1.0000  143.8880  250.5958  286.0887  163.0076  167.1828   50.7452   84.2674 	2g
  -1.0000  148.0189  262.5785  288.1950  296.4620  180.5531  172.8956   85.5831 	2h
  -1.0000  144.1175  231.9260  193.7426   74.3863  216.2167  192.3235   81.8328 	4n
  -1.0000  147.8984  282.1966   92.8646   85.2815  247.9033  184.3780   84.0568 	0i
  -1.0000  148.9892  267.4665   87.2690   67.7141  188.4355  177.4254   85.5632 	6n
  -1.0000  143.6400  247.1962   63.6420   74.7336  124.7962  184.2157   82.5887 	6j
  -1.0000  149.6225  254.8120  118.4530  277.8974  205.9995  285.7098   89.6722 	0k
  -1.0000  146.8040  259.9675  294.1852  287.7728  210.2457   55.0171  147.7433 	2[
  -1.0000  146.5954  237.0636  165.1725  294.8515  170.7771   46.0469  145.0027 	4b
  -1.0000  146.4588  246.8920  107.7870  272.9600  170.6454   52.0738  146.4480 	0b
  -1.0000  150.3707  261.9585  216.9660   70.7812  207.1260   58.2512  148.1759 	4p
  -1.0000  146.5300  255.9193   89.9361   69.6865  178.2770   56.6750  148.4293 	6p
  -1.0000  144.8588  236.8192  268.4885  183.4799  182.7934   55.3939  143.3629 	2z
  -1.0000  149.4919  244.9531  172.8868  281.7397   81.8040  176.4799  147.4548 	4s
  -1.0000  147.3710  254.4129  301.5915  285.7878  167.0115  178.6765  146.1656 	2u
  -1.0000  147.4010  252.4400  302.4498  286.9218  204.2601  298.8408  149.7627 	2o
