# script and data used to create this table can be found at https://github.com/SluskyLab/FaMPAsymEz
ALA	-0.0017	-0.0020	-0.0023	-0.0027	-0.0031	-0.0037	-0.0043	-0.0051	-0.0060	-0.0071	-0.0084	-0.0099	-0.0117	-0.0137	-0.0160	-0.0184	-0.0209	-0.0231	-0.0248	-0.0257	-0.0253	-0.0236	-0.0206	-0.0166	-0.0123	-0.0083	-0.0049	-0.0024	-0.0009	-0.0001	nan	-0.0001	-0.0009	-0.0024	-0.0049	-0.0083	-0.0123	-0.0166	-0.0206	-0.0236	-0.0253	-0.0257	-0.0248	-0.0231	-0.0209	-0.0184	-0.0160	-0.0137	-0.0117	-0.0099	-0.0084	-0.0071	-0.0060	-0.0051	-0.0043	-0.0037	-0.0031	-0.0027	-0.0023	-0.0020	-0.0017
CYS	-0.3138	-0.2479	0.0152	0.2650	-0.0332	-0.0352	-0.0371	-0.0391	-0.0410	-0.0428	-0.0445	-0.0459	-0.0471	-0.0480	-0.0485	-0.0484	-0.0479	-0.0467	-0.0449	-0.0425	-0.0394	-0.0358	-0.0316	-0.0271	-0.0224	-0.0176	-0.0130	-0.0086	-0.0048	-0.0017	nan	-0.0017	-0.0048	-0.0086	-0.0130	-0.0176	-0.0224	-0.0271	-0.0316	-0.0358	-0.0394	-0.0425	-0.0449	-0.0467	-0.0479	-0.0484	-0.0485	-0.0480	-0.0471	-0.0459	-0.0445	-0.0428	-0.0410	-0.2348	-0.2413	-0.2057	-0.1272	-0.0195	0.0928	0.1835	0.2343
ASP	-0.0273	-0.0432	-0.0610	-0.0765	0.1323	0.1323	0.1323	0.1323	0.0391	0.0429	0.0468	0.0509	0.0551	0.0591	0.0630	0.0664	0.0691	0.0708	0.0713	0.0702	0.0674	0.0628	0.0565	0.0488	0.0401	0.0310	0.0220	0.0139	0.0071	0.0022	nan	0.0022	0.0071	0.0139	0.0220	0.0310	0.0401	0.0488	0.0565	-0.1480	-0.1480	-0.1480	-0.1480	-0.1480	-0.1480	-0.1480	-0.1480	-0.1480	-0.0219	-0.0181	-0.0126	-0.0059	0.0014	0.0085	0.0148	0.0197	0.0229	0.0243	0.0240	0.0223	0.0196
GLU	-0.0247	-0.0219	-0.0164	-0.0088	0.0000	0.0088	0.0867	0.0867	0.0867	0.0867	0.0867	0.0642	0.0759	0.0877	0.0981	0.1054	0.1077	0.1037	0.0935	0.0785	0.0613	0.0443	0.0297	0.0183	0.0102	0.0051	0.0021	0.0007	0.0001	0.0000	nan	0.0000	0.0001	0.0007	0.0021	0.0051	0.0102	0.0183	0.0297	0.0443	0.0613	0.0785	0.0935	0.1037	0.1077	0.1054	0.0981	0.0877	0.0759	0.0642	0.0533	0.0439	0.0359	0.0292	0.0238	0.0194	0.0158	0.0129	0.0106	0.0088	0.0073
PHE	-0.0053	-0.0070	-0.0094	-0.0126	-0.0169	-0.0226	-0.0299	-0.0390	-0.0493	-0.0599	-0.0688	-0.0733	-0.0717	-0.0638	-0.0516	-0.0382	-0.0261	-0.0165	-0.0098	-0.0055	-0.0028	-0.0014	-0.0006	-0.0002	-0.0001	-0.0000	-0.0000	-0.0000	-0.0000	-0.0000	nan	-0.0000	-0.0000	-0.0000	-0.0000	-0.0000	-0.0001	-0.0002	-0.0006	-0.0014	-0.0028	-0.0055	-0.0098	-0.0165	-0.0261	-0.0382	-0.0516	-0.0638	-0.0717	-0.0733	-0.0688	-0.0599	-0.0493	-0.0390	-0.0299	-0.0226	-0.0169	-0.0126	-0.0094	-0.0070	-0.0053
GLY	-0.0000	-0.0000	-0.0000	-0.0000	-0.0000	-0.0000	-0.0000	-0.0000	-0.0001	-0.0001	-0.0002	-0.0002	-0.0004	-0.0007	-0.0011	-0.0020	-0.0036	-0.0066	-0.0123	-0.0221	-0.0353	-0.0443	-0.0380	-0.0215	-0.0085	-0.0025	-0.0005	-0.0001	-0.0000	-0.0000	nan	-0.0000	-0.0000	-0.0001	-0.0005	-0.0025	-0.0085	-0.0215	-0.0380	-0.0443	-0.0104	-0.0138	-0.0175	-0.0212	-0.0246	-0.0270	-0.0279	-0.0270	-0.0240	-0.0189	-0.0121	-0.0041	0.0044	0.0124	0.0192	0.0242	0.0271	0.0279	0.0269	0.0244	0.0211
HIS	0.0010	0.0011	0.0013	0.0014	0.0016	0.0019	0.0021	0.0025	0.0029	0.0034	0.0039	0.0047	0.0055	0.0067	0.0080	0.0098	0.0119	0.0147	0.0182	0.0226	0.0281	0.0346	0.0419	0.0494	0.0554	0.0574	0.0529	0.0410	0.0244	0.0085	nan	0.0085	0.0244	0.0410	0.0529	0.0574	0.0554	0.0494	0.0419	0.0346	0.0281	0.0226	-0.0623	-0.0000	-0.0000	-0.0001	-0.0005	-0.0033	-0.0152	-0.0471	-0.0969	-0.1221	-0.0688	0.0422	0.1169	0.1084	0.0592	0.0211	0.0051	0.0009	0.0001
ILE	-0.0034	-0.0043	-0.0055	-0.0070	-0.0090	-0.0115	-0.0149	-0.0192	-0.0246	-0.0313	-0.0394	-0.0483	-0.0573	-0.0648	-0.0691	-0.0686	-0.0627	-0.0527	-0.0405	-0.0287	-0.0188	-0.0113	-0.0063	-0.0032	-0.0014	-0.0006	-0.0002	-0.0000	-0.0000	-0.0000	nan	-0.0000	-0.0000	-0.0000	-0.0002	-0.0006	-0.0014	-0.0032	-0.0063	-0.0113	-0.0188	-0.0287	-0.0405	-0.0527	-0.0627	-0.0686	-0.0691	-0.0648	-0.0573	-0.0483	-0.0394	-0.0313	-0.0246	-0.0192	-0.0149	-0.0115	-0.0090	-0.0070	-0.0055	-0.0043	-0.0034
LYS	-0.0571	-0.0524	-0.0451	-0.0354	-0.0237	-0.0106	0.0032	0.0167	0.0293	0.0402	0.0488	0.0549	0.0583	0.0592	0.0577	0.1801	0.1801	0.1801	0.1801	0.1856	0.1890	0.1520	0.0961	0.0488	0.0203	0.0069	0.0018	0.0003	0.0000	0.0000	nan	0.0000	0.0000	0.0003	0.0018	0.0069	0.0203	0.0488	0.0961	0.1520	0.1890	0.1856	0.1504	0.1071	0.0709	0.0455	0.0289	0.0185	0.0120	0.0079	0.0053	0.0036	0.0025	0.0017	-0.0478	-0.0489	-0.0143	0.0326	0.0525	0.0398	0.0187
LEU	-0.0124	-0.0143	-0.0165	-0.0189	-0.0217	-0.0248	-0.0282	-0.0319	-0.0357	-0.0395	-0.0430	-0.0460	-0.0481	-0.0490	-0.0484	-0.0463	-0.0428	-0.0380	-0.0324	-0.0264	-0.0206	-0.0153	-0.0108	-0.0071	-0.0044	-0.0024	-0.0012	-0.0005	-0.0001	-0.0000	nan	-0.0000	-0.0001	-0.0005	-0.0012	-0.0024	-0.0044	-0.0071	-0.0108	-0.0153	-0.0206	-0.0264	-0.0324	-0.0380	-0.0428	-0.0463	-0.0484	-0.0490	-0.0481	-0.0460	-0.0430	-0.0395	-0.0357	-0.0319	-0.0282	-0.0248	-0.0217	-0.0189	-0.0165	-0.0143	-0.0124
MET	-0.0413	-0.0188	0.0094	0.0347	0.0501	0.0530	0.0459	0.0338	0.0216	-0.0107	-0.0152	-0.0214	-0.0290	-0.0371	-0.0434	-0.0453	-0.0411	-0.0322	-0.0221	-0.0134	-0.0073	-0.0036	-0.0016	-0.0006	-0.0002	-0.0001	-0.0000	-0.0000	-0.0000	-0.0000	nan	-0.0000	-0.0000	-0.0000	-0.0000	-0.0001	-0.0002	-0.0006	-0.0016	-0.0036	-0.0073	-0.0134	-0.0221	-0.0322	-0.0411	-0.0453	-0.0434	-0.0371	-0.0290	-0.0214	-0.0152	-0.0107	-0.0074	-0.0052	-0.0036	-0.0025	-0.0018	-0.0013	-0.0009	-0.0007	-0.0005
ASN	0.0004	0.0005	0.0007	0.0010	0.0013	0.0019	0.0027	0.0040	0.0058	0.0087	0.0130	0.0197	0.0296	0.0440	0.0628	0.0837	0.0997	0.1018	0.0866	0.0613	0.0368	0.0191	0.0087	0.0035	0.0012	0.0003	0.0001	0.0000	0.0000	0.0000	nan	0.0000	0.0000	0.0000	0.0001	0.0003	0.0012	0.0035	0.0087	0.0191	0.0368	0.0613	0.0866	0.1018	0.0997	0.0837	-0.1414	-0.1414	-0.0098	-0.0063	-0.0024	0.0016	0.0055	0.0090	0.0121	0.0145	0.0161	0.0170	0.0171	0.0166	0.0156
PRO	0.0175	0.0197	0.0220	0.0245	0.0272	0.0300	0.0329	0.0358	0.0385	0.0409	0.0428	0.0441	0.0445	0.0439	0.0423	0.0397	0.0362	0.0320	0.0274	0.0226	0.0180	0.0138	0.0101	0.0070	0.0045	0.0027	0.0014	0.0006	0.0002	0.0000	nan	-0.0006	-0.0024	-0.0054	-0.0097	-0.0150	-0.0211	-0.0274	-0.0335	-0.0389	-0.0432	-0.0462	-0.0478	-0.0479	-0.0469	-0.0449	-0.0423	-0.0393	-0.0360	-0.0328	-0.0296	-0.0266	-0.0238	-0.0213	-0.0190	-0.0169	-0.0150	-0.0134	-0.0120	-0.0107	-0.0095
GLN	0.0018	0.0022	0.0026	0.0032	0.0040	0.0050	0.0063	0.0079	0.0101	0.0129	0.0167	0.0216	0.0280	0.0364	0.0469	0.0598	0.0743	0.0890	0.1010	0.1064	0.1022	0.0881	0.0675	0.0458	0.0273	0.0141	0.0061	0.0020	0.0004	0.0000	nan	0.0000	0.0004	0.0020	0.0061	0.0141	0.0273	0.0458	0.0675	0.0881	0.1022	0.1064	0.1010	0.0890	0.0743	0.0598	0.0469	0.0364	0.0280	0.0216	0.0167	0.0129	0.0101	0.0079	0.0063	0.0050	0.0040	0.0032	0.0026	0.0022	0.0018
ARG	-0.0441	-0.0480	-0.0506	-0.0515	-0.0502	-0.0467	-0.0409	-0.0329	-0.0231	-0.0119	0.0000	0.0119	0.0231	0.0329	0.0409	0.0467	0.2219	0.2219	0.2219	0.2219	0.1526	0.1670	0.1635	0.1393	0.1014	0.0620	0.0311	0.0121	0.0031	0.0003	nan	0.0003	0.0031	0.0121	0.0311	0.0620	0.1014	0.1393	0.1635	0.1670	0.1526	0.1284	0.1023	0.0788	0.0596	0.0448	0.0337	0.0255	0.0194	0.0148	0.0115	0.0090	0.0071	0.0056	0.0045	0.0036	0.0029	0.0024	0.0020	0.0017	0.0014
SER	0.0005	0.0006	0.0009	0.0012	0.0017	0.0023	0.0033	0.0047	0.0066	0.0094	0.0131	0.0179	0.0233	0.0283	0.0312	0.0304	0.0259	0.0193	0.0128	0.0076	0.0041	0.0020	0.0009	0.0003	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	nan	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0003	0.0009	0.0020	0.0041	0.0076	0.0128	0.0193	0.0259	0.0304	0.0312	0.0283	0.0233	0.0179	0.0131	0.0094	0.0066	0.0047	0.0033	0.0023	0.0017	0.0012	0.0009	0.0006	0.0005
