#Generic QM-derived Ramachandran table for L-alpha-N-methyl_alanine_dimethyl_amide (pre-pro) amino acids.  
#Data created by Tim Craven (twcraven@uw.edu) and formatted by Vikram K. Mulligan (vmullig@uw.edu) on 10 November 2016.
#Resname	phi	psi	probability	-log(prob)
GENERIC_L_ALPHA_NMETHYL_AA	-180 	-180 	5.7355832805e-08 	16.6739912931
GENERIC_L_ALPHA_NMETHYL_AA	-170 	-180 	6.93619501436e-07 	14.1813422956
GENERIC_L_ALPHA_NMETHYL_AA	-160 	-180 	2.50077185152e-06 	12.8989111331
GENERIC_L_ALPHA_NMETHYL_AA	-150 	-180 	4.52137502555e-05 	10.0041093082
GENERIC_L_ALPHA_NMETHYL_AA	-140 	-180 	0.000204353433066 	8.49565954816
GENERIC_L_ALPHA_NMETHYL_AA	-130 	-180 	0.000657781521717 	7.32663771564
GENERIC_L_ALPHA_NMETHYL_AA	-120 	-180 	0.00113001923909 	6.78552062066
GENERIC_L_ALPHA_NMETHYL_AA	-110 	-180 	0.00117969070927 	6.74250298565
GENERIC_L_ALPHA_NMETHYL_AA	-100 	-180 	0.000788683653913 	7.14514526313
GENERIC_L_ALPHA_NMETHYL_AA	-90 	-180 	1.5963103066e-07 	15.6504007431
GENERIC_L_ALPHA_NMETHYL_AA	-80 	-180 	1.45488576902e-08 	18.0457533557
GENERIC_L_ALPHA_NMETHYL_AA	-70 	-180 	5.42434042722e-10 	21.3349546181
GENERIC_L_ALPHA_NMETHYL_AA	-60 	-180 	7.75221099833e-12 	25.5830430231
GENERIC_L_ALPHA_NMETHYL_AA	-50 	-180 	6.09122028131e-14 	30.4293428657
GENERIC_L_ALPHA_NMETHYL_AA	-40 	-180 	1.20181418529e-14 	32.0523590657
GENERIC_L_ALPHA_NMETHYL_AA	-30 	-180 	2.13337921893e-07 	15.3603884406
GENERIC_L_ALPHA_NMETHYL_AA	-20 	-180 	3.95032533279e-13 	28.5598082707
GENERIC_L_ALPHA_NMETHYL_AA	-10 	-180 	8.02732415025e-08 	16.3378295031
GENERIC_L_ALPHA_NMETHYL_AA	0 	-180 	2.43013019795e-07 	15.2301508156
GENERIC_L_ALPHA_NMETHYL_AA	10 	-180 	7.35678872369e-07 	14.1224721281
GENERIC_L_ALPHA_NMETHYL_AA	20 	-180 	2.2271374748e-06 	13.0147934407
GENERIC_L_ALPHA_NMETHYL_AA	30 	-180 	7.91706622669e-09 	18.6542451257
GENERIC_L_ALPHA_NMETHYL_AA	40 	-180 	4.74496795364e-08 	16.8635960656
GENERIC_L_ALPHA_NMETHYL_AA	50 	-180 	1.16428914558e-07 	15.9659849256
GENERIC_L_ALPHA_NMETHYL_AA	60 	-180 	1.32557835732e-07 	15.8362467907
GENERIC_L_ALPHA_NMETHYL_AA	70 	-180 	3.49045022013e-08 	17.1706500132
GENERIC_L_ALPHA_NMETHYL_AA	80 	-180 	4.62189875142e-08 	16.8898751381
GENERIC_L_ALPHA_NMETHYL_AA	90 	-180 	4.81957268508e-08 	16.8479954744
GENERIC_L_ALPHA_NMETHYL_AA	100 	-180 	5.02570093291e-08 	16.8061158106
GENERIC_L_ALPHA_NMETHYL_AA	110 	-180 	4.69249762001e-06 	12.2695455757
GENERIC_L_ALPHA_NMETHYL_AA	120 	-180 	5.21369237403e-09 	19.0719775232
GENERIC_L_ALPHA_NMETHYL_AA	130 	-180 	2.75449464909e-07 	15.1048616556
GENERIC_L_ALPHA_NMETHYL_AA	140 	-180 	6.57465326993e-08 	16.5374589019
GENERIC_L_ALPHA_NMETHYL_AA	150 	-180 	1.56929205269e-08 	17.9700561481
GENERIC_L_ALPHA_NMETHYL_AA	160 	-180 	5.06789182647e-07 	14.4951707331
GENERIC_L_ALPHA_NMETHYL_AA	170 	-180 	1.79255476942e-07 	15.5344538032
GENERIC_L_ALPHA_NMETHYL_AA	-180 	-170 	8.64220518187e-09 	18.5666080573
GENERIC_L_ALPHA_NMETHYL_AA	-170 	-170 	9.79140930778e-08 	16.139175344
GENERIC_L_ALPHA_NMETHYL_AA	-160 	-170 	6.56132709972e-07 	14.2369027667
GENERIC_L_ALPHA_NMETHYL_AA	-150 	-170 	3.17578742079e-06 	12.6599549498
GENERIC_L_ALPHA_NMETHYL_AA	-140 	-170 	1.00373529153e-05 	11.5091971323
GENERIC_L_ALPHA_NMETHYL_AA	-130 	-170 	1.92690194408e-05 	10.8570119621
GENERIC_L_ALPHA_NMETHYL_AA	-120 	-170 	2.52570260151e-05 	10.5864061829
GENERIC_L_ALPHA_NMETHYL_AA	-110 	-170 	2.72507473206e-05 	10.5104296126
GENERIC_L_ALPHA_NMETHYL_AA	-100 	-170 	9.28153379951e-06 	11.5874837447
GENERIC_L_ALPHA_NMETHYL_AA	-90 	-170 	1.4546648544e-07 	15.7433201175
GENERIC_L_ALPHA_NMETHYL_AA	-80 	-170 	1.71954072226e-08 	17.8786235107
GENERIC_L_ALPHA_NMETHYL_AA	-70 	-170 	2.40506440484e-09 	19.8456891542
GENERIC_L_ALPHA_NMETHYL_AA	-60 	-170 	1.68226080352e-10 	22.5057123248
GENERIC_L_ALPHA_NMETHYL_AA	-50 	-170 	1.53603212458e-11 	24.899233474
GENERIC_L_ALPHA_NMETHYL_AA	-40 	-170 	4.67027224252e-11 	23.7872186569
GENERIC_L_ALPHA_NMETHYL_AA	-30 	-170 	5.25701131654e-10 	21.3662882554
GENERIC_L_ALPHA_NMETHYL_AA	-20 	-170 	1.58948024583e-09 	20.2598587636
