# Generic MM-derived Ramachandran table for oligo-urea L-alanine, at pre-proline
# positions.  Data created by Tim Craven (twcraven@uw.edu) on 19 Sept 2017.  Added
# to Rosetta by Vikram K. Mulligan (vmullig@uw.edu) on 26 Sept 2017.
@N_MAINCHAIN_TORSIONS 3
@N_MAINCHAIN_TORSIONS_TOTAL 4
@MAINCHAIN_TORSIONS_PROVIDED 1 2 3
@DIMENSIONS 36 36 36
@OFFSETS 5 5 5
#Resname	phi	theta	psi	probability	-log(prob)
GENERIC_OLIGOUREA_ALA	-180 	-180 	-180 	8.23373669307e-05 	9.40468552014
GENERIC_OLIGOUREA_ALA	-180 	-180 	-170 	7.61731760715e-05 	9.4825011773
GENERIC_OLIGOUREA_ALA	-180 	-180 	-160 	6.01758288588e-05 	9.71823980025
GENERIC_OLIGOUREA_ALA	-180 	-180 	-150 	4.07268075721e-05 	10.1086240196
GENERIC_OLIGOUREA_ALA	-180 	-180 	-140 	2.52683456845e-05 	10.5859581043
GENERIC_OLIGOUREA_ALA	-180 	-180 	-130 	1.71385866903e-05 	10.974178105
GENERIC_OLIGOUREA_ALA	-180 	-180 	-120 	1.57219087044e-05 	11.0604553595
GENERIC_OLIGOUREA_ALA	-180 	-180 	-110 	2.07730691836e-05 	10.781853161
GENERIC_OLIGOUREA_ALA	-180 	-180 	-100 	3.38525589536e-05 	10.2934959646
GENERIC_OLIGOUREA_ALA	-180 	-180 	-90 	5.42712867534e-05 	9.82151525995
GENERIC_OLIGOUREA_ALA	-180 	-180 	-80 	7.33520279803e-05 	9.52024040576
GENERIC_OLIGOUREA_ALA	-180 	-180 	-70 	7.45548865623e-05 	9.50397497145
GENERIC_OLIGOUREA_ALA	-180 	-180 	-60 	4.52001613324e-05 	10.0044099018
GENERIC_OLIGOUREA_ALA	-180 	-180 	-50 	9.54929153954e-06 	11.5590435906
GENERIC_OLIGOUREA_ALA	-180 	-180 	-40 	3.59200116595e-07 	14.8393861759
GENERIC_OLIGOUREA_ALA	-180 	-180 	-30 	3.2475608217e-09 	19.5453616388
GENERIC_OLIGOUREA_ALA	-180 	-180 	-20 	8.56383934662e-12 	25.4834725045
GENERIC_OLIGOUREA_ALA	-180 	-180 	-10 	4.84428908164e-20 	44.4739013577
GENERIC_OLIGOUREA_ALA	-180 	-180 	0 	1.92738453322e-34 	77.6317292421
GENERIC_OLIGOUREA_ALA	-180 	-180 	10 	6.29560126665e-46 	104.0790631
GENERIC_OLIGOUREA_ALA	-180 	-180 	20 	2.59484545563e-52 	118.780897876
GENERIC_OLIGOUREA_ALA	-180 	-180 	30 	3.55861642232e-53 	120.767638105
GENERIC_OLIGOUREA_ALA	-180 	-180 	40 	5.95361824759e-49 	111.042670413
GENERIC_OLIGOUREA_ALA	-180 	-180 	50 	9.99307391102e-40 	89.8015114756
GENERIC_OLIGOUREA_ALA	-180 	-180 	60 	2.12960910098e-26 	59.1112739756
GENERIC_OLIGOUREA_ALA	-180 	-180 	70 	3.19344985313e-11 	24.1673342318
GENERIC_OLIGOUREA_ALA	-180 	-180 	80 	2.88993272968e-06 	12.754277333
GENERIC_OLIGOUREA_ALA	-180 	-180 	90 	2.47649729305e-05 	10.606080285
GENERIC_OLIGOUREA_ALA	-180 	-180 	100 	2.96389389519e-05 	10.426421556
GENERIC_OLIGOUREA_ALA	-180 	-180 	110 	2.17724807515e-05 	10.7348637365
GENERIC_OLIGOUREA_ALA	-180 	-180 	120 	1.69279871778e-05 	10.9865422597
GENERIC_OLIGOUREA_ALA	-180 	-180 	130 	1.80534855531e-05 	10.9221717864
GENERIC_OLIGOUREA_ALA	-180 	-180 	140 	2.594025479e-05 	10.5597145568
GENERIC_OLIGOUREA_ALA	-180 	-180 	150 	4.12190226688e-05 	10.0966106929
GENERIC_OLIGOUREA_ALA	-180 	-180 	160 	6.05601315507e-05 	9.7118737766
GENERIC_OLIGOUREA_ALA	-180 	-180 	170 	7.64122135562e-05 	9.47936801127
GENERIC_OLIGOUREA_ALA	-180 	-180 	180 	8.23373669361e-05 	9.40468552008
GENERIC_OLIGOUREA_ALA	-180 	-170 	-180 	7.86675580644e-05 	9.45027971034
GENERIC_OLIGOUREA_ALA	-180 	-170 	-170 	7.27947990737e-05 	9.52786604661
GENERIC_OLIGOUREA_ALA	-180 	-170 	-160 	5.74913266984e-05 	9.76387646157
GENERIC_OLIGOUREA_ALA	-180 	-170 	-150 	3.88858178627e-05 	10.1548809532
GENERIC_OLIGOUREA_ALA	-180 	-170 	-140 	2.41087928588e-05 	10.6329339351
GENERIC_OLIGOUREA_ALA	-180 	-170 	-130 	1.63426867708e-05 	11.021730053
GENERIC_OLIGOUREA_ALA	-180 	-170 	-120 	1.4987131801e-05 	11.108318605
GENERIC_OLIGOUREA_ALA	-180 	-170 	-110 	1.98000070412e-05 	10.8298282646
GENERIC_OLIGOUREA_ALA	-180 	-170 	-100 	3.2267306277e-05 	10.3414560299
GENERIC_OLIGOUREA_ALA	-180 	-170 	-90 	5.1720352159e-05 	9.86965919513
GENERIC_OLIGOUREA_ALA	-180 	-170 	-80 	6.98923791468e-05 	9.56855393975
GENERIC_OLIGOUREA_ALA	-180 	-170 	-70 	7.16514192818e-05 	9.54369759535
GENERIC_OLIGOUREA_ALA	-180 	-170 	-60 	4.63872934662e-05 	9.97848498395
GENERIC_OLIGOUREA_ALA	-180 	-170 	-50 	1.30133467201e-05 	11.2495350564
GENERIC_OLIGOUREA_ALA	-180 	-170 	-40 	8.66946222862e-07 	13.9582888888
GENERIC_OLIGOUREA_ALA	-180 	-170 	-30 	2.78727445014e-09 	19.6982016182
GENERIC_OLIGOUREA_ALA	-180 	-170 	-20 	3.27601162703e-18 	40.2599049588
GENERIC_OLIGOUREA_ALA	-180 	-170 	-10 	1.391057376e-35 	80.2604140947
GENERIC_OLIGOUREA_ALA	-180 	-170 	0 	3.33207190657e-50 	113.925660345
GENERIC_OLIGOUREA_ALA	-180 	-170 	10 	1.1276077087e-59 	135.73242217
GENERIC_OLIGOUREA_ALA	-180 	-170 	20 	1.61016030492e-63 	144.586527116
GENERIC_OLIGOUREA_ALA	-180 	-170 	30 	3.7824538423e-62 	141.429902802
GENERIC_OLIGOUREA_ALA	-180 	-170 	40 	2.04458069644e-56 	128.229572478
GENERIC_OLIGOUREA_ALA	-180 	-170 	50 	2.08142341348e-44 	100.580692099
GENERIC_OLIGOUREA_ALA	-180 	-170 	60 	1.26514633098e-26 	59.6320246257
GENERIC_OLIGOUREA_ALA	-180 	-170 	70 	1.19921266288e-10 	22.8441857028
GENERIC_OLIGOUREA_ALA	-180 	-170 	80 	2.69583272208e-06 	12.8238034135
GENERIC_OLIGOUREA_ALA	-180 	-170 	90 	2.29188149442e-05 	10.6835523715
GENERIC_OLIGOUREA_ALA	-180 	-170 	100 	2.7750797742e-05 	10.4922459707
GENERIC_OLIGOUREA_ALA	-180 	-170 	110 	2.05185584971e-05 	10.7941807888
GENERIC_OLIGOUREA_ALA	-180 	-170 	120 	1.60341011674e-05 	11.0407927808
GENERIC_OLIGOUREA_ALA	-180 	-170 	130 	1.71422865944e-05 	10.9739622468
GENERIC_OLIGOUREA_ALA	-180 	-170 	140 	2.46737213546e-05 	10.6097717935
GENERIC_OLIGOUREA_ALA	-180 	-170 	150 	3.92597123938e-05 	10.1453116948
GENERIC_OLIGOUREA_ALA	-180 	-170 	160 	5.77522553275e-05 	9.75934815604
GENERIC_OLIGOUREA_ALA	-180 	-170 	170 	7.29529685659e-05 	9.52569559066
GENERIC_OLIGOUREA_ALA	-180 	-170 	180 	7.8667558068e-05 	9.4502797103
GENERIC_OLIGOUREA_ALA	-180 	-160 	-180 	7.3589033053e-05 	9.51701455076
GENERIC_OLIGOUREA_ALA	-180 	-160 	-170 	6.8083260024e-05 	9.59477918965
GENERIC_OLIGOUREA_ALA	-180 	-160 	-160 	5.37410338964e-05 	9.8313337161
GENERIC_OLIGOUREA_ALA	-180 	-160 	-150 	3.63281551551e-05 	10.2229174932
GENERIC_OLIGOUREA_ALA	-180 	-160 	-140 	2.25139875939e-05 	10.7013737711
GENERIC_OLIGOUREA_ALA	-180 	-160 	-130 	1.52584885266e-05 	11.0903745851
GENERIC_OLIGOUREA_ALA	-180 	-160 	-120 	1.39896242796e-05 	11.177194626
GENERIC_OLIGOUREA_ALA	-180 	-160 	-110 	1.84751792508e-05 	10.8990823888
GENERIC_OLIGOUREA_ALA	-180 	-160 	-100 	3.00644548132e-05 	10.4121669872
GENERIC_OLIGOUREA_ALA	-180 	-160 	-90 	4.7965571775e-05 	9.94502705909
GENERIC_OLIGOUREA_ALA	-180 	-160 	-80 	6.39379531759e-05 	9.65759742648
GENERIC_OLIGOUREA_ALA	-180 	-160 	-70 	6.32971193302e-05 	9.66767073806
GENERIC_OLIGOUREA_ALA	-180 	-160 	-60 	3.76733388441e-05 	10.1865579062
GENERIC_OLIGOUREA_ALA	-180 	-160 	-50 	7.76063577223e-06 	11.7664462977
GENERIC_OLIGOUREA_ALA	-180 	-160 	-40 	8.34255617338e-08 	16.2993110789
GENERIC_OLIGOUREA_ALA	-180 	-160 	-30 	5.09382663576e-16 	35.213332145
GENERIC_OLIGOUREA_ALA	-180 	-160 	-20 	3.15110470364e-34 	77.1401400709
GENERIC_OLIGOUREA_ALA	-180 	-160 	-10 	1.88605090139e-51 	116.79735457
GENERIC_OLIGOUREA_ALA	-180 	-160 	0 	6.00443412107e-64 	145.572947735
GENERIC_OLIGOUREA_ALA	-180 	-160 	10 	2.73736667876e-71 	162.47654521
GENERIC_OLIGOUREA_ALA	-180 	-160 	20 	1.69006433619e-74 	169.866530285
GENERIC_OLIGOUREA_ALA	-180 	-160 	30 	3.59481946879e-72 	164.506632923
GENERIC_OLIGOUREA_ALA	-180 	-160 	40 	3.40875057183e-62 	141.533929943
GENERIC_OLIGOUREA_ALA	-180 	-160 	50 	1.4219124371e-45 	103.264326433
GENERIC_OLIGOUREA_ALA	-180 	-160 	60 	1.04829468497e-25 	57.5174625905
GENERIC_OLIGOUREA_ALA	-180 	-160 	70 	5.00238595739e-11 	23.7185210328
GENERIC_OLIGOUREA_ALA	-180 	-160 	80 	2.79424807272e-06 	12.7879475134
GENERIC_OLIGOUREA_ALA	-180 	-160 	90 	2.26877264083e-05 	10.6936864666
GENERIC_OLIGOUREA_ALA	-180 	-160 	100 	2.61919233736e-05 	10.5500594629
GENERIC_OLIGOUREA_ALA	-180 	-160 	110 	1.91121284497e-05 	10.8651874271
GENERIC_OLIGOUREA_ALA	-180 	-160 	120 	1.49111524508e-05 	11.1134011384
GENERIC_OLIGOUREA_ALA	-180 	-160 	130 	1.594877724e-05 	11.0461283937
GENERIC_OLIGOUREA_ALA	-180 	-160 	140 	2.29831127033e-05 	10.680750842
GENERIC_OLIGOUREA_ALA	-180 	-160 	150 	3.6621371259e-05 	10.2148785738
GENERIC_OLIGOUREA_ALA	-180 	-160 	160 	5.39403910392e-05 	9.82763099076
GENERIC_OLIGOUREA_ALA	-180 	-160 	170 	6.821206645e-05 	9.59288908135
GENERIC_OLIGOUREA_ALA	-180 	-160 	180 	7.3589033056e-05 	9.51701455072
GENERIC_OLIGOUREA_ALA	-180 	-150 	-180 	6.9213388844e-05 	9.57831623365
GENERIC_OLIGOUREA_ALA	-180 	-150 	-170 	6.39946585738e-05 	9.65671093787
GENERIC_OLIGOUREA_ALA	-180 	-150 	-160 	5.04904334449e-05 	9.89372667636
GENERIC_OLIGOUREA_ALA	-180 	-150 	-150 	3.41279396081e-05 	10.2853941658
GENERIC_OLIGOUREA_ALA	-180 	-150 	-140 	2.11543503216e-05 	10.7636649847
GENERIC_OLIGOUREA_ALA	-180 	-150 	-130 	1.43390623196e-05 	11.1525231141
GENERIC_OLIGOUREA_ALA	-180 	-150 	-120 	1.31445148663e-05 	11.2395060068
GENERIC_OLIGOUREA_ALA	-180 	-150 	-110 	1.73266939739e-05 	10.9632622414
GENERIC_OLIGOUREA_ALA	-180 	-150 	-100 	2.80368808941e-05 	10.4819897397
GENERIC_OLIGOUREA_ALA	-180 	-150 	-90 	4.39814868319e-05 	10.0317417664
GENERIC_OLIGOUREA_ALA	-180 	-150 	-80 	5.56347287637e-05 	9.79670293365
GENERIC_OLIGOUREA_ALA	-180 	-150 	-70 	4.74289763211e-05 	9.95627720125
GENERIC_OLIGOUREA_ALA	-180 	-150 	-60 	1.76741070485e-05 	10.9434098681
GENERIC_OLIGOUREA_ALA	-180 	-150 	-50 	5.58293358285e-07 	14.398381281
GENERIC_OLIGOUREA_ALA	-180 	-150 	-40 	6.92062466119e-14 	30.3016852674
GENERIC_OLIGOUREA_ALA	-180 	-150 	-30 	1.12577417487e-30 	68.9590818354
GENERIC_OLIGOUREA_ALA	-180 	-150 	-20 	8.47208022192e-50 	112.992478572
GENERIC_OLIGOUREA_ALA	-180 	-150 	-10 	4.02721624807e-65 	148.274955665
GENERIC_OLIGOUREA_ALA	-180 	-150 	0 	1.75663401024e-75 	172.130482491
GENERIC_OLIGOUREA_ALA	-180 	-150 	10 	6.85159053615e-83 	189.190081898
GENERIC_OLIGOUREA_ALA	-180 	-150 	20 	5.92218829319e-84 	191.638441787
GENERIC_OLIGOUREA_ALA	-180 	-150 	30 	1.42476503939e-76 	174.642460152
GENERIC_OLIGOUREA_ALA	-180 	-150 	40 	1.37035185435e-61 	140.142623138
GENERIC_OLIGOUREA_ALA	-180 	-150 	50 	5.0432105711e-41 	92.7879459154
GENERIC_OLIGOUREA_ALA	-180 	-150 	60 	3.29726185563e-24 	54.0689498485
GENERIC_OLIGOUREA_ALA	-180 	-150 	70 	6.15654467576e-11 	23.510920332
GENERIC_OLIGOUREA_ALA	-180 	-150 	80 	4.30434093503e-06 	12.3558865247
GENERIC_OLIGOUREA_ALA	-180 	-150 	90 	2.46489990142e-05 	10.6107742662
GENERIC_OLIGOUREA_ALA	-180 	-150 	100 	2.55531253925e-05 	10.5747509242
GENERIC_OLIGOUREA_ALA	-180 	-150 	110 	1.81235506977e-05 	10.9182983219
GENERIC_OLIGOUREA_ALA	-180 	-150 	120 	1.40217112133e-05 	11.1749036286
GENERIC_OLIGOUREA_ALA	-180 	-150 	130 	1.49703739548e-05 	11.1094373796
GENERIC_OLIGOUREA_ALA	-180 	-150 	140 	2.15807199246e-05 	10.743710238
GENERIC_OLIGOUREA_ALA	-180 	-150 	150 	3.44204160347e-05 	10.2768606802
GENERIC_OLIGOUREA_ALA	-180 	-150 	160 	5.0738489126e-05 	9.88882578102
GENERIC_OLIGOUREA_ALA	-180 	-150 	170 	6.41782930872e-05 	9.65384551835
GENERIC_OLIGOUREA_ALA	-180 	-150 	180 	6.92133888484e-05 	9.57831623359
GENERIC_OLIGOUREA_ALA	-180 	-140 	-180 	6.71324849444e-05 	9.6088425038
GENERIC_OLIGOUREA_ALA	-180 	-140 	-170 	6.20438863006e-05 	9.68766857976
GENERIC_OLIGOUREA_ALA	-180 	-140 	-160 	4.89634514757e-05 	9.92443642642
GENERIC_OLIGOUREA_ALA	-180 	-140 	-150 	3.311900577e-05 	10.3154032479
GENERIC_OLIGOUREA_ALA	-180 	-140 	-140 	2.05446824433e-05 	10.7929084124
GENERIC_OLIGOUREA_ALA	-180 	-140 	-130 	1.39319212161e-05 	11.1813278604
GENERIC_OLIGOUREA_ALA	-180 	-140 	-120 	1.2757423033e-05 	11.2693972571
GENERIC_OLIGOUREA_ALA	-180 	-140 	-110 	1.67441667767e-05 	10.9974606125
GENERIC_OLIGOUREA_ALA	-180 	-140 	-100 	2.67168227775e-05 	10.5302171244
GENERIC_OLIGOUREA_ALA	-180 	-140 	-90 	4.01674224461e-05 	10.1224542778
GENERIC_OLIGOUREA_ALA	-180 	-140 	-80 	4.48199042581e-05 	10.0128582257
GENERIC_OLIGOUREA_ALA	-180 	-140 	-70 	2.60655173617e-05 	10.554897291
GENERIC_OLIGOUREA_ALA	-180 	-140 	-60 	2.33479635601e-06 	12.9675858843
GENERIC_OLIGOUREA_ALA	-180 	-140 	-50 	2.23509775867e-11 	24.5241510559
GENERIC_OLIGOUREA_ALA	-180 	-140 	-40 	9.22934502153e-26 	57.6448243338
GENERIC_OLIGOUREA_ALA	-180 	-140 	-30 	1.87656616637e-45 	102.986885585
GENERIC_OLIGOUREA_ALA	-180 	-140 	-20 	9.02546672265e-63 	142.862810641
GENERIC_OLIGOUREA_ALA	-180 	-140 	-10 	1.47778968907e-75 	172.303334456
GENERIC_OLIGOUREA_ALA	-180 	-140 	0 	3.00824221265e-86 	196.920962072
GENERIC_OLIGOUREA_ALA	-180 	-140 	10 	6.99146222604e-91 	207.59055374
GENERIC_OLIGOUREA_ALA	-180 	-140 	20 	1.15388599607e-86 	197.879182625
GENERIC_OLIGOUREA_ALA	-180 	-140 	30 	3.84270596968e-74 	169.045120084
GENERIC_OLIGOUREA_ALA	-180 	-140 	40 	1.33418952216e-54 	124.051271014
GENERIC_OLIGOUREA_ALA	-180 	-140 	50 	3.66286468511e-37 	83.8974028987
GENERIC_OLIGOUREA_ALA	-180 	-140 	60 	2.46174724964e-20 	45.150830498
GENERIC_OLIGOUREA_ALA	-180 	-140 	70 	3.29023185417e-09 	19.5323078023
GENERIC_OLIGOUREA_ALA	-180 	-140 	80 	9.47157241463e-06 	11.5672156229
GENERIC_OLIGOUREA_ALA	-180 	-140 	90 	2.89179967222e-05 	10.4510464327
GENERIC_OLIGOUREA_ALA	-180 	-140 	100 	2.62280142826e-05 	10.548682471
GENERIC_OLIGOUREA_ALA	-180 	-140 	110 	1.79336275332e-05 	10.9288329744
GENERIC_OLIGOUREA_ALA	-180 	-140 	120 	1.36914287689e-05 	11.1987405582
GENERIC_OLIGOUREA_ALA	-180 	-140 	130 	1.45611976154e-05 	11.1371502648
GENERIC_OLIGOUREA_ALA	-180 	-140 	140 	2.09745717468e-05 	10.7721997231
GENERIC_OLIGOUREA_ALA	-180 	-140 	150 	3.3451483535e-05 	10.3054144216
GENERIC_OLIGOUREA_ALA	-180 	-140 	160 	4.92945374348e-05 	9.91769728559
GENERIC_OLIGOUREA_ALA	-180 	-140 	170 	6.230207569e-05 	9.68351581507
GENERIC_OLIGOUREA_ALA	-180 	-140 	180 	6.71324849507e-05 	9.60884250371
GENERIC_OLIGOUREA_ALA	-180 	-130 	-180 	6.75098267319e-05 	9.60323738947
GENERIC_OLIGOUREA_ALA	-180 	-130 	-170 	6.24228151912e-05 	9.68157972135
GENERIC_OLIGOUREA_ALA	-180 	-130 	-160 	4.93156454289e-05 	9.91726917576
GENERIC_OLIGOUREA_ALA	-180 	-130 	-150 	3.33961934436e-05 	10.3070686332
GENERIC_OLIGOUREA_ALA	-180 	-130 	-140 	2.07349385025e-05 	10.7836904302
GENERIC_OLIGOUREA_ALA	-180 	-130 	-130 	1.40612782806e-05 	11.1720857596
GENERIC_OLIGOUREA_ALA	-180 	-130 	-120 	1.28492599391e-05 	11.2622243406
GENERIC_OLIGOUREA_ALA	-180 	-130 	-110 	1.67332073714e-05 	10.9981153476
GENERIC_OLIGOUREA_ALA	-180 	-130 	-100 	2.60270432537e-05 	10.5563744354
