* CA C N H 0 40 2
* CA N C O 0 40 2
ASN CB CG OD1 ND2 0 40 2
ASP CB CG OD1 OD2 0 40 2
GLN CG CD OE1 NE2 0 40 2
GLU CG CD OE1 OE2 0 40 2
CYS CA CB SG HG 1.047197551 10 3
CYS 1HB CB SG HG 1.047197551 10 3
CYS 2HB CB SG HG 1.047197551 10 3
SER CA CB OG HG 1.047197551 10 3
SER 1HB CB OG HG 1.047197551 10 3
SER 2HB CB OG HG 1.047197551 10 3
THR CA CB OG1 HG1 1.047197551 10 3
THR CG2 CB OG1 HG1 1.047197551 10 3
THR HB CB OG1 HG1 1.047197551 10 3
TYR CE1 CZ OH HH 0 20 2
TYR CE2 CZ OH HH 0 20 2
ALA N CA CB 1HB -3.141592654 20 3
ALA N CA CB 2HB -1.047197551 20 3
ALA N CA CB 3HB 1.047197551 20 3
ALA C CA CB 1HB 1.047197551 20 3
ALA C CA CB 2HB 3.141592654 20 3
ALA C CA CB 3HB -1.047197551 20 3
ALA HA CA CB 1HB -1.047197551 20 3
ALA HA CA CB 2HB 1.047197551 20 3
ALA HA CA CB 3HB 3.141592654 20 3
ARG CD NE CZ NH1 0 40 2
ARG CD NE CZ NH2 3.141592654 40 2
ARG HE NE CZ NH1 3.141592654 40 2
ARG HE NE CZ NH2 0 40 2
ARG NE CZ NH1 1HH1 0 40 2
ARG NE CZ NH1 2HH1 -3.141592654 40 2
ARG NH2 CZ NH1 1HH1 3.141592654 40 2
ARG NH2 CZ NH1 2HH1 0 40 2
ARG NE CZ NH2 1HH2 0.00E+00 40 2
ARG NE CZ NH2 2HH2 3.141592654 40 2
ARG NH1 CZ NH2 1HH2 -3.141592654 40 2
ARG NH1 CZ NH2 2HH2 0 40 2
ASN CB CG ND2 1HD2 -3.141592654 40 2
ASN CB CG ND2 2HD2 0 40 2
ASN OD1 CG ND2 1HD2 0 40 2
ASN OD1 CG ND2 2HD2 -3.141592654 40 2
GLN CG CD NE2 1HE2 3.141592654 40 2
GLN CG CD NE2 2HE2 0 40 2
GLN OE1 CD NE2 1HE2 0 40 2
GLN OE1 CD NE2 2HE2 -3.141592654 40 2
HIS CB CG ND1 CE1 3.141592654 40 2
HIS CD2 CG ND1 CE1 0 40 2
HIS CB CG CD2 NE2 3.141592654 40 2
HIS CB CG CD2 HD2 0 40 2
HIS ND1 CG CD2 NE2 0 40 2
HIS ND1 CG CD2 HD2 -3.141592654 40 2
HIS CG ND1 CE1 NE2 0 40 2
HIS CG ND1 CE1 HE1 -3.141592654 40 2
HIS CG CD2 NE2 CE1 0.00E+00 40 2
HIS CG CD2 NE2 HE2 3.141592654 40 2
HIS HD2 CD2 NE2 CE1 3.141592654 40 2
HIS HD2 CD2 NE2 HE2 0 40 2
HIS ND1 CE1 NE2 CD2 0 40 2
HIS ND1 CE1 NE2 HE2 3.141592654 40 2
HIS HE1 CE1 NE2 CD2 3.141592654 40 2
HIS HE1 CE1 NE2 HE2 0 40 2
ILE CA CB CG2 1HG2 3.141592654 20 3
ILE CA CB CG2 2HG2 -1.047197551 20 3
ILE CA CB CG2 3HG2 1.047197551 20 3
ILE CG1 CB CG2 1HG2 1.047197551 20 3
ILE CG1 CB CG2 2HG2 3.141592654 20 3
ILE CG1 CB CG2 3HG2 -1.047197551 20 3
ILE HB CB CG2 1HG2 -1.047197551 20 3
ILE HB CB CG2 2HG2 1.047197551 20 3
ILE HB CB CG2 3HG2 -3.141592654 20 3
ILE CB CG1 CD1 1HD1 -3.141592654 20 3
ILE CB CG1 CD1 2HD1 -1.047197551 20 3
ILE CB CG1 CD1 3HD1 1.047197551 20 3
ILE 1HG1 CG1 CD1 1HD1 1.047197551 20 3
ILE 1HG1 CG1 CD1 2HD1 3.141592654 20 3
ILE 1HG1 CG1 CD1 3HD1 -1.047197551 20 3
ILE 2HG1 CG1 CD1 1HD1 -1.047197551 20 3
